name,brName,avgTime,sem,repeats,minValue,maxValue,earliestTime,latestTime
[bbb]-[landing]-[pre-load]-title-keyword,general,6880,501,13,3573,9174,"11/4/2024, 8:29:45 AM","11/4/2024, 10:06:19 AM"
[bbb]-[landing]-[post-load]-title-keyword,general,1644,208,13,1037,3463,"11/4/2024, 8:29:50 AM","11/4/2024, 10:06:22 AM"
[bbb]-[landing]-[pre-load]-citations,general,6690,373,23,2874,9913,"11/4/2024, 8:29:45 AM","11/4/2024, 10:06:16 AM"
[bbb]-[landing]-[post-load]-citations,general,1543,135,23,1016,3229,"11/4/2024, 8:29:50 AM","11/4/2024, 10:06:19 AM"
[bbb]-[landing]-[pre-load]-year-range,general,6809,486,13,3401,9218,"11/4/2024, 8:29:45 AM","11/4/2024, 10:06:17 AM"
[bbb]-[landing]-[post-load]-year-range,general,1581,202,13,1036,3193,"11/4/2024, 8:29:50 AM","11/4/2024, 10:06:19 AM"
[bbb]-[landing]-[pre-load]-first-author,general,6432,387,22,2916,9289,"11/4/2024, 8:29:45 AM","11/4/2024, 10:06:15 AM"
[bbb]-[landing]-[post-load]-first-author,general,1512,142,22,979,3276,"11/4/2024, 8:29:50 AM","11/4/2024, 10:06:18 AM"
[bbb]-[search-page]-[post-load]-first-author,general,987,9,29,929,1145,"11/4/2024, 8:29:50 AM","11/4/2024, 10:09:53 AM"
[bbb]-[search-page]-[post-load]-citations,general,956,41,28,874,1886,"11/4/2024, 8:29:51 AM","11/4/2024, 10:09:54 AM"
[bbb]-[search-page]-[post-load]-year-range,general,905,11,19,865,1037,"11/4/2024, 8:29:52 AM","11/4/2024, 10:09:55 AM"
[bbb]-[search-page]-[post-load]-title-keyword,general,898,7,19,867,985,"11/4/2024, 8:29:53 AM","11/4/2024, 10:09:56 AM"
[scix]-[search-page]-[post-load]-first-author,general,256,8,28,163,348,"11/4/2024, 8:34:19 AM","11/4/2024, 10:05:09 AM"
[scix]-[search-page]-[post-load]-citations,general,615,32,28,212,994,"11/4/2024, 8:34:20 AM","11/4/2024, 10:05:09 AM"
[scix]-[landing]-[pre-load]-first-author,general,6534,417,20,3211,11516,"11/4/2024, 8:34:13 AM","11/4/2024, 10:01:45 AM"
[scix]-[landing]-[post-load]-first-author,general,1506,183,20,1011,3974,"11/4/2024, 8:34:19 AM","11/4/2024, 10:01:46 AM"
[scix]-[search-page]-[post-load]-year-range,general,280,48,18,152,993,"11/4/2024, 8:34:21 AM","11/4/2024, 10:05:09 AM"
[scix]-[landing]-[pre-load]-title-keyword,general,7035,828,10,2814,11389,"11/4/2024, 8:34:13 AM","11/4/2024, 10:01:54 AM"
[scix]-[landing]-[post-load]-title-keyword,general,1656,229,10,1065,3198,"11/4/2024, 8:34:20 AM","11/4/2024, 10:01:54 AM"
[scix]-[landing]-[pre-load]-citations,general,6413,491,20,2219,11661,"11/4/2024, 8:34:13 AM","11/4/2024, 10:01:49 AM"
[scix]-[landing]-[post-load]-citations,general,1462,121,20,1058,3262,"11/4/2024, 8:34:19 AM","11/4/2024, 10:01:49 AM"
[scix]-[landing]-[pre-load]-year-range,general,7210,971,10,2090,11480,"11/4/2024, 8:34:13 AM","11/4/2024, 10:01:51 AM"
[scix]-[landing]-[post-load]-year-range,general,1761,151,10,1088,2716,"11/4/2024, 8:34:19 AM","11/4/2024, 10:01:52 AM"
[scix]-[search-page]-[post-load]-title-keyword,general,805,163,18,184,3419,"11/4/2024, 8:34:21 AM","11/4/2024, 10:05:10 AM"
[scix]-[landing]-[pre-load]-pub-date,general,6575,2380,4,2306,11541,"11/4/2024, 8:42:36 AM","11/4/2024, 10:01:59 AM"
[scix]-[landing]-[post-load]-pub-date,general,1785,224,4,1319,2375,"11/4/2024, 8:42:46 AM","11/4/2024, 10:01:59 AM"
[scix]-[landing]-[pre-load]-arxiv-id,general,6830,2385,4,2399,11740,"11/4/2024, 8:42:36 AM","11/4/2024, 10:01:57 AM"
[scix]-[landing]-[post-load]-arxiv-id,general,1956,300,4,1342,2708,"11/4/2024, 8:42:46 AM","11/4/2024, 10:01:57 AM"
[scix]-[landing]-[pre-load]-not-search,general,7189,2227,4,3030,11797,"11/4/2024, 8:42:36 AM","11/4/2024, 10:01:58 AM"
[scix]-[landing]-[post-load]-not-search,general,2374,377,4,1653,3329,"11/4/2024, 8:42:46 AM","11/4/2024, 10:01:58 AM"
[scix]-[landing]-[pre-load]-full-text,general,7357,2122,4,3332,11866,"11/4/2024, 8:42:36 AM","11/4/2024, 10:01:54 AM"
[scix]-[landing]-[post-load]-full-text,general,2634,452,4,1821,3694,"11/4/2024, 8:42:46 AM","11/4/2024, 10:01:54 AM"
[scix]-[landing]-[pre-load]-or-search,general,7140,2198,4,3370,11811,"11/4/2024, 8:42:36 AM","11/4/2024, 10:01:57 AM"
[scix]-[landing]-[post-load]-or-search,general,2354,430,4,1499,3136,"11/4/2024, 8:42:46 AM","11/4/2024, 10:01:58 AM"
[scix]-[landing]-[pre-load]-keyword-search,general,6942,2448,4,2563,11922,"11/4/2024, 8:42:36 AM","11/4/2024, 10:01:56 AM"
[scix]-[landing]-[post-load]-keyword-search,general,2056,171,4,1653,2459,"11/4/2024, 8:42:46 AM","11/4/2024, 10:01:56 AM"
[scix]-[landing]-[pre-load]-and-search,general,7214,2241,4,3164,11900,"11/4/2024, 8:42:36 AM","11/4/2024, 10:01:57 AM"
[scix]-[landing]-[post-load]-and-search,general,2261,331,4,1571,3049,"11/4/2024, 8:42:46 AM","11/4/2024, 10:01:58 AM"
[scix]-[landing]-[pre-load]-abstract-keyword,general,7358,2228,4,3405,12008,"11/4/2024, 8:42:36 AM","11/4/2024, 10:01:54 AM"
[scix]-[landing]-[post-load]-abstract-keyword,general,2330,311,4,1658,3028,"11/4/2024, 8:42:46 AM","11/4/2024, 10:01:55 AM"
[scix]-[landing]-[pre-load]-affiliation,general,7367,2203,4,3305,11948,"11/4/2024, 8:42:36 AM","11/4/2024, 10:01:54 AM"
[scix]-[landing]-[post-load]-affiliation,general,2542,433,4,1704,3571,"11/4/2024, 8:42:46 AM","11/4/2024, 10:01:55 AM"
[scix]-[landing]-[pre-load]-pub-type,general,7695,2456,4,3218,13711,"11/4/2024, 8:42:36 AM","11/4/2024, 10:01:55 AM"
[scix]-[landing]-[post-load]-pub-type,general,2828,456,4,1604,3672,"11/4/2024, 8:42:46 AM","11/4/2024, 10:01:55 AM"
[scix]-[landing]-[pre-load]-author-citations-title-abstract,general,5164,1600,4,2132,8098,"11/4/2024, 8:42:48 AM","11/4/2024, 10:03:30 AM"
[scix]-[landing]-[post-load]-author-citations-title-abstract,general,1510,204,4,1166,2035,"11/4/2024, 8:42:55 AM","11/4/2024, 10:03:31 AM"
[scix]-[landing]-[pre-load]-full-text-references,general,5304,1755,4,2187,8433,"11/4/2024, 8:42:48 AM","11/4/2024, 10:02:04 AM"
[scix]-[landing]-[post-load]-full-text-references,general,1672,186,4,1262,2010,"11/4/2024, 8:42:55 AM","11/4/2024, 10:02:04 AM"
[scix]-[landing]-[pre-load]-cited-by-author,general,5523,1573,4,2800,8738,"11/4/2024, 8:42:48 AM","11/4/2024, 10:02:01 AM"
[scix]-[landing]-[post-load]-cited-by-author,general,1923,336,4,1339,2505,"11/4/2024, 8:42:55 AM","11/4/2024, 10:02:01 AM"
[scix]-[landing]-[pre-load]-title-citations,general,5609,1701,4,2630,8957,"11/4/2024, 8:42:48 AM","11/4/2024, 10:02:01 AM"
[scix]-[landing]-[post-load]-title-citations,general,1916,264,4,1415,2418,"11/4/2024, 8:42:55 AM","11/4/2024, 10:02:01 AM"
[scix]-[landing]-[pre-load]-affiliation-references,general,5620,1679,4,2591,9128,"11/4/2024, 8:42:48 AM","11/4/2024, 10:02:04 AM"
[scix]-[landing]-[post-load]-affiliation-references,general,2022,311,4,1198,2626,"11/4/2024, 8:42:55 AM","11/4/2024, 10:02:04 AM"
[scix]-[search-page]-[post-load]-full-text,general,318,61,12,186,723,"11/4/2024, 8:42:58 AM","11/4/2024, 10:05:10 AM"
