name,brName,avgTime,sem,repeats,minValue,maxValue,earliestTime,latestTime
[throttled]-[scix]-[landing]-[pre-load]-arxiv-id,general,7985,760,10,6408,13038,"11/4/2024, 10:14:01 AM","11/4/2024, 11:24:30 AM"
[throttled]-[scix]-[landing]-[post-load]-arxiv-id,general,7332,601,10,5965,11236,"11/4/2024, 10:14:03 AM","11/4/2024, 11:24:30 AM"
[throttled]-[scix]-[landing]-[pre-load]-first-author,general,8476,659,10,7105,13858,"11/4/2024, 10:14:01 AM","11/4/2024, 11:23:50 AM"
[throttled]-[scix]-[landing]-[post-load]-first-author,general,7754,516,10,6587,11730,"11/4/2024, 10:14:03 AM","11/4/2024, 11:23:50 AM"
[throttled]-[scix]-[landing]-[pre-load]-pub-date,general,8334,681,10,6378,14119,"11/4/2024, 10:14:01 AM","11/4/2024, 11:24:42 AM"
[throttled]-[scix]-[landing]-[post-load]-pub-date,general,7598,485,10,5974,11441,"11/4/2024, 10:14:03 AM","11/4/2024, 11:24:43 AM"
[throttled]-[scix]-[landing]-[pre-load]-year-range,general,8708,667,10,7416,14314,"11/4/2024, 10:14:01 AM","11/4/2024, 11:23:58 AM"
[throttled]-[scix]-[landing]-[post-load]-year-range,general,8083,477,10,7007,11906,"11/4/2024, 10:14:03 AM","11/4/2024, 11:23:58 AM"
[throttled]-[scix]-[landing]-[pre-load]-or-search,general,8942,834,10,6839,14266,"11/4/2024, 10:14:01 AM","11/4/2024, 11:24:33 AM"
[throttled]-[scix]-[landing]-[post-load]-or-search,general,8265,655,10,6426,12389,"11/4/2024, 10:14:04 AM","11/4/2024, 11:24:34 AM"
[throttled]-[scix]-[landing]-[pre-load]-full-text,general,8897,695,10,7210,14494,"11/4/2024, 10:14:01 AM","11/4/2024, 11:24:07 AM"
[throttled]-[scix]-[landing]-[post-load]-full-text,general,8273,492,10,6844,11740,"11/4/2024, 10:14:03 AM","11/4/2024, 11:24:08 AM"
[throttled]-[scix]-[landing]-[pre-load]-affiliation,general,9704,714,10,7757,14484,"11/4/2024, 10:14:01 AM","11/4/2024, 11:24:15 AM"
[throttled]-[scix]-[landing]-[post-load]-affiliation,general,9053,547,10,7403,11811,"11/4/2024, 10:14:03 AM","11/4/2024, 11:24:15 AM"
[throttled]-[scix]-[landing]-[pre-load]-and-search,general,9029,774,10,6902,14559,"11/4/2024, 10:14:01 AM","11/4/2024, 11:24:34 AM"
[throttled]-[scix]-[landing]-[post-load]-and-search,general,8249,552,10,6321,11424,"11/4/2024, 10:14:04 AM","11/4/2024, 11:24:34 AM"
[throttled]-[scix]-[landing]-[pre-load]-title-keyword,general,8721,720,10,6935,14573,"11/4/2024, 10:14:01 AM","11/4/2024, 11:24:06 AM"
[throttled]-[scix]-[landing]-[post-load]-title-keyword,general,8089,524,10,6544,11917,"11/4/2024, 10:14:03 AM","11/4/2024, 11:24:07 AM"
[throttled]-[scix]-[landing]-[pre-load]-pub-type,general,9380,843,10,7563,15045,"11/4/2024, 10:14:01 AM","11/4/2024, 11:24:24 AM"
[throttled]-[scix]-[landing]-[post-load]-pub-type,general,8707,697,10,7163,13178,"11/4/2024, 10:14:03 AM","11/4/2024, 11:24:24 AM"
[throttled]-[scix]-[landing]-[pre-load]-abstract-keyword,general,10031,786,10,7833,15184,"11/4/2024, 10:14:01 AM","11/4/2024, 11:24:15 AM"
[throttled]-[scix]-[landing]-[post-load]-abstract-keyword,general,9390,630,10,7424,12434,"11/4/2024, 10:14:03 AM","11/4/2024, 11:24:16 AM"
[throttled]-[scix]-[landing]-[pre-load]-keyword-search,general,9637,878,10,7474,15239,"11/4/2024, 10:14:01 AM","11/4/2024, 11:24:24 AM"
[throttled]-[scix]-[landing]-[post-load]-keyword-search,general,8973,733,10,6995,13762,"11/4/2024, 10:14:04 AM","11/4/2024, 11:24:25 AM"
[throttled]-[scix]-[landing]-[pre-load]-citations,general,9058,747,10,7587,15405,"11/4/2024, 10:14:01 AM","11/4/2024, 11:23:58 AM"
[throttled]-[scix]-[landing]-[post-load]-citations,general,8420,534,10,7222,12738,"11/4/2024, 10:14:03 AM","11/4/2024, 11:23:58 AM"
[throttled]-[scix]-[landing]-[pre-load]-not-search,general,9215,798,10,6890,15473,"11/4/2024, 10:14:01 AM","11/4/2024, 11:24:37 AM"
[throttled]-[scix]-[landing]-[post-load]-not-search,general,8501,606,10,6535,12779,"11/4/2024, 10:14:03 AM","11/4/2024, 11:24:37 AM"
[scix]-[landing]-[pre-load]-first-author,general,2477,409,10,1926,6137,"11/4/2024, 10:14:16 AM","11/4/2024, 11:25:13 AM"
[scix]-[landing]-[post-load]-first-author,general,2161,300,10,1743,4837,"11/4/2024, 10:14:18 AM","11/4/2024, 11:25:13 AM"
[scix]-[landing]-[pre-load]-citations,general,2355,188,10,1917,3977,"11/4/2024, 10:14:23 AM","11/4/2024, 11:25:15 AM"
[scix]-[landing]-[post-load]-citations,general,2128,176,10,1735,3657,"11/4/2024, 10:14:23 AM","11/4/2024, 11:25:15 AM"
[scix]-[landing]-[pre-load]-year-range,general,2262,107,10,1993,3061,"11/4/2024, 10:14:25 AM","11/4/2024, 11:25:17 AM"
[scix]-[landing]-[post-load]-year-range,general,2050,107,10,1794,2847,"11/4/2024, 10:14:25 AM","11/4/2024, 11:25:17 AM"
