name,brName,avgTime,sem,repeats,minValue,maxValue,earliestTime,latestTime
scix.title-keyword.normal.pre-load,general,15568,737,32,9160,22991,"11/5/2024, 4:23:31 PM","11/6/2024, 11:06:53 AM"
scix.title-keyword.normal.post-load,general,12367,667,32,6880,19913,"11/5/2024, 4:23:34 PM","11/6/2024, 11:06:56 AM"
scix.arxiv-id.normal.pre-load,general,14910,642,33,9133,22368,"11/5/2024, 4:23:31 PM","11/6/2024, 11:06:53 AM"
scix.arxiv-id.normal.post-load,general,11676,580,33,7021,18696,"11/5/2024, 4:23:34 PM","11/6/2024, 11:06:56 AM"
scix.pub-type.normal.pre-load,general,15854,713,33,9853,23403,"11/5/2024, 4:23:31 PM","11/6/2024, 11:06:53 AM"
scix.pub-type.normal.post-load,general,12686,655,33,7374,20444,"11/5/2024, 4:23:34 PM","11/6/2024, 11:06:57 AM"
scix.pub-date.normal.pre-load,general,15298,676,33,9338,21915,"11/5/2024, 4:23:31 PM","11/6/2024, 11:06:53 AM"
scix.pub-date.normal.post-load,general,12131,616,33,7072,18556,"11/5/2024, 4:23:34 PM","11/6/2024, 11:06:56 AM"
scix.affiliation.normal.pre-load,general,15782,759,32,9534,24854,"11/5/2024, 4:23:31 PM","11/6/2024, 11:06:53 AM"
scix.affiliation.normal.post-load,general,12570,694,32,6964,19915,"11/5/2024, 4:23:34 PM","11/6/2024, 11:06:58 AM"
scix.or-search.normal.pre-load,general,15739,722,32,10005,23335,"11/5/2024, 4:23:31 PM","11/6/2024, 11:06:53 AM"
scix.or-search.normal.post-load,general,12543,664,32,7150,19367,"11/5/2024, 4:23:34 PM","11/6/2024, 11:06:57 AM"
scix.citations.normal.pre-load,general,16197,818,33,9754,27903,"11/5/2024, 4:23:31 PM","11/6/2024, 11:06:53 AM"
scix.citations.normal.post-load,general,13094,765,33,7289,24915,"11/5/2024, 4:23:34 PM","11/6/2024, 11:06:57 AM"
scix.not-search.normal.pre-load,general,15999,749,33,9728,23674,"11/5/2024, 4:23:31 PM","11/6/2024, 11:06:53 AM"
scix.not-search.normal.post-load,general,12687,676,33,7381,20371,"11/5/2024, 4:23:34 PM","11/6/2024, 11:06:57 AM"
scix.and-search.normal.pre-load,general,15609,722,33,9274,23170,"11/5/2024, 4:23:31 PM","11/6/2024, 11:06:53 AM"
scix.and-search.normal.post-load,general,12446,673,33,7137,19647,"11/5/2024, 4:23:34 PM","11/6/2024, 11:06:57 AM"
scix.abstract-keyword.normal.pre-load,general,15900,738,33,9129,23927,"11/5/2024, 4:23:31 PM","11/6/2024, 11:06:53 AM"
scix.abstract-keyword.normal.post-load,general,12813,655,33,7011,19723,"11/5/2024, 4:23:34 PM","11/6/2024, 11:06:58 AM"
scix.first-author.normal.pre-load,general,15837,786,33,9219,24359,"11/5/2024, 4:23:31 PM","11/6/2024, 11:06:53 AM"
scix.first-author.normal.post-load,general,12662,740,33,6031,20794,"11/5/2024, 4:23:34 PM","11/6/2024, 11:06:57 AM"
scix.full-text.normal.pre-load,general,15985,757,33,9880,24673,"11/5/2024, 4:23:31 PM","11/6/2024, 11:06:52 AM"
scix.full-text.normal.post-load,general,12744,681,33,7407,20406,"11/5/2024, 4:23:34 PM","11/6/2024, 11:06:57 AM"
scix.keyword-search.normal.pre-load,general,16093,823,32,9700,26250,"11/5/2024, 4:23:31 PM","11/6/2024, 11:06:53 AM"
scix.keyword-search.normal.post-load,general,12885,777,32,7254,23368,"11/5/2024, 4:23:34 PM","11/6/2024, 11:06:58 AM"
scix.year-range.normal.pre-load,general,15720,739,32,9378,23577,"11/5/2024, 4:23:31 PM","11/6/2024, 11:06:53 AM"
scix.year-range.normal.post-load,general,12636,671,32,6898,19081,"11/5/2024, 4:23:34 PM","11/6/2024, 11:06:57 AM"
scix.author-citations-title-abstract.normal.pre-load,general,13230,723,39,7567,22591,"11/5/2024, 4:23:42 PM","11/6/2024, 11:10:44 AM"
scix.author-citations-title-abstract.normal.post-load,general,10803,656,39,5612,19582,"11/5/2024, 4:23:44 PM","11/6/2024, 11:10:49 AM"
scix.title-citations.normal.pre-load,general,15344,837,33,7868,23400,"11/5/2024, 4:23:42 PM","11/6/2024, 11:06:53 AM"
scix.title-citations.normal.post-load,general,12315,712,33,6159,19814,"11/5/2024, 4:23:43 PM","11/6/2024, 11:06:57 AM"
scix.full-text-references.normal.pre-load,general,15065,889,34,4963,24374,"11/5/2024, 4:23:42 PM","11/6/2024, 11:06:53 AM"
scix.full-text-references.normal.post-load,general,12103,756,34,4081,19645,"11/5/2024, 4:23:43 PM","11/6/2024, 11:06:58 AM"
scix.cited-by-author.normal.pre-load,general,15405,867,33,7842,25496,"11/5/2024, 4:23:42 PM","11/6/2024, 11:06:53 AM"
scix.cited-by-author.normal.post-load,general,12437,731,33,6325,22148,"11/5/2024, 4:23:43 PM","11/6/2024, 11:06:57 AM"
scix.affiliation-references.normal.pre-load,general,15503,848,33,7849,23481,"11/5/2024, 4:23:42 PM","11/6/2024, 11:06:53 AM"
scix.affiliation-references.normal.post-load,general,12363,737,33,6044,19196,"11/5/2024, 4:23:43 PM","11/6/2024, 11:06:57 AM"
scix.pub-type-citations-year.normal.pre-load,general,15657,878,33,7858,28457,"11/5/2024, 4:23:42 PM","11/6/2024, 11:06:53 AM"
scix.pub-type-citations-year.normal.post-load,general,12449,766,33,5766,23492,"11/5/2024, 4:23:43 PM","11/6/2024, 11:06:57 AM"
scix.first-author.3g-4x.pre-load,general,16618,849,25,11890,29694,"11/5/2024, 4:23:42 PM","11/6/2024, 11:00:23 AM"
scix.first-author.3g-4x.post-load,general,14375,791,25,10036,26553,"11/5/2024, 4:23:44 PM","11/6/2024, 11:00:26 AM"
scix.title-keyword.3g-4x.pre-load,general,14535,1131,25,7695,27830,"11/5/2024, 4:23:51 PM","11/6/2024, 11:00:23 AM"
scix.title-keyword.3g-4x.post-load,general,12685,982,25,6810,24985,"11/5/2024, 4:23:52 PM","11/6/2024, 11:00:27 AM"
scix.affiliation.3g-4x.pre-load,general,14830,1183,25,7325,29440,"11/5/2024, 4:23:51 PM","11/6/2024, 11:00:24 AM"
scix.affiliation.3g-4x.post-load,general,13100,1044,25,6674,26611,"11/5/2024, 4:23:52 PM","11/6/2024, 11:00:26 AM"
scix.year-range.3g-4x.pre-load,general,14849,1135,25,8044,29641,"11/5/2024, 4:23:51 PM","11/6/2024, 11:00:23 AM"
scix.year-range.3g-4x.post-load,general,13004,985,25,7208,26572,"11/5/2024, 4:23:52 PM","11/6/2024, 11:00:26 AM"
scix.full-text.3g-4x.pre-load,general,13781,1011,23,8038,26658,"11/5/2024, 4:23:51 PM","11/6/2024, 10:56:47 AM"
scix.full-text.3g-4x.post-load,general,11994,850,23,7317,24021,"11/5/2024, 4:23:52 PM","11/6/2024, 10:56:50 AM"
scix.citations.3g-4x.pre-load,general,14212,1038,23,8301,27427,"11/5/2024, 4:23:51 PM","11/6/2024, 10:56:47 AM"
scix.citations.3g-4x.post-load,general,12431,896,23,7397,24905,"11/5/2024, 4:23:52 PM","11/6/2024, 10:56:50 AM"
scix.abstract-keyword.3g-4x.pre-load,general,14229,1095,24,6699,27417,"11/5/2024, 4:23:55 PM","11/6/2024, 11:00:23 AM"
scix.abstract-keyword.3g-4x.post-load,general,12418,948,24,6386,24597,"11/5/2024, 4:23:55 PM","11/6/2024, 11:00:26 AM"
scix.arxiv-id.3g-4x.pre-load,general,15372,1477,29,6500,29741,"11/5/2024, 4:23:59 PM","11/6/2024, 10:42:58 AM"
scix.arxiv-id.3g-4x.post-load,general,13590,1331,29,6145,27105,"11/5/2024, 4:24:00 PM","11/6/2024, 10:43:01 AM"
scix.and-search.3g-4x.pre-load,general,15046,1334,27,6927,28849,"11/5/2024, 4:23:59 PM","11/6/2024, 10:57:00 AM"
scix.and-search.3g-4x.post-load,general,13286,1191,27,6374,26236,"11/5/2024, 4:24:00 PM","11/6/2024, 10:57:01 AM"
scix.pub-type.3g-4x.pre-load,general,14838,1310,26,6569,29793,"11/5/2024, 4:23:59 PM","11/6/2024, 11:00:24 AM"
scix.pub-type.3g-4x.post-load,general,13055,1161,26,5475,26775,"11/5/2024, 4:23:59 PM","11/6/2024, 11:00:26 AM"
scix.keyword-search.3g-4x.pre-load,general,13532,1010,23,7077,24062,"11/5/2024, 4:23:59 PM","11/6/2024, 10:56:58 AM"
scix.keyword-search.3g-4x.post-load,general,11606,701,23,6633,18393,"11/5/2024, 4:23:59 PM","11/6/2024, 10:57:08 AM"
scix.or-search.3g-4x.pre-load,general,14954,1302,26,7196,29750,"11/5/2024, 4:23:59 PM","11/6/2024, 11:00:24 AM"
scix.or-search.3g-4x.post-load,general,13188,1186,26,6685,27215,"11/5/2024, 4:24:00 PM","11/6/2024, 11:00:26 AM"
scix.not-search.3g-4x.pre-load,general,13465,1121,24,6658,28574,"11/5/2024, 4:24:02 PM","11/6/2024, 11:00:24 AM"
scix.not-search.3g-4x.post-load,general,11851,997,24,6281,26554,"11/5/2024, 4:24:02 PM","11/6/2024, 11:00:26 AM"
scix.pub-date.3g-4x.pre-load,general,14510,1495,25,6459,27866,"11/5/2024, 4:24:07 PM","11/6/2024, 11:07:25 AM"
scix.pub-date.3g-4x.post-load,general,11277,1030,25,6092,25280,"11/5/2024, 4:24:07 PM","11/6/2024, 11:07:28 AM"
scix.cited-by-author.3g-4x.pre-load,general,14985,1146,27,7339,28659,"11/5/2024, 4:24:08 PM","11/6/2024, 11:07:26 AM"
scix.cited-by-author.3g-4x.post-load,general,12720,755,27,6819,24484,"11/5/2024, 4:24:09 PM","11/6/2024, 11:07:30 AM"
scix.title-citations.3g-4x.pre-load,general,15533,1040,29,7753,27003,"11/5/2024, 4:24:10 PM","11/6/2024, 11:00:46 AM"
scix.title-citations.3g-4x.post-load,general,12785,570,29,7280,18869,"11/5/2024, 4:24:10 PM","11/6/2024, 11:00:50 AM"
scix.affiliation-references.3g-4x.pre-load,general,14163,1412,25,6462,28862,"11/5/2024, 4:24:18 PM","11/6/2024, 11:00:47 AM"
scix.affiliation-references.3g-4x.post-load,general,12994,1270,25,6075,27061,"11/5/2024, 4:24:19 PM","11/6/2024, 11:00:48 AM"
scix.pub-type-citations-year.3g-4x.pre-load,general,12790,1008,23,6432,26709,"11/5/2024, 4:24:25 PM","11/6/2024, 10:57:14 AM"
scix.pub-type-citations-year.3g-4x.post-load,general,11733,954,23,6122,25771,"11/5/2024, 4:24:25 PM","11/6/2024, 10:57:15 AM"
scix.title-keyword.eth-2x.pre-load,general,13519,1323,37,4404,29124,"11/5/2024, 4:25:14 PM","11/6/2024, 11:07:51 AM"
scix.title-keyword.eth-2x.post-load,general,11692,1229,37,3961,26361,"11/5/2024, 4:25:15 PM","11/6/2024, 11:07:54 AM"
scix.first-author.eth-2x.pre-load,general,13906,1386,36,3922,28927,"11/5/2024, 4:25:14 PM","11/6/2024, 11:04:15 AM"
scix.first-author.eth-2x.post-load,general,12293,1277,36,3719,25517,"11/5/2024, 4:25:15 PM","11/6/2024, 11:04:18 AM"
scix.full-text.eth-2x.pre-load,general,13794,1587,39,4360,29489,"11/5/2024, 4:25:14 PM","11/6/2024, 11:11:17 AM"
scix.full-text.eth-2x.post-load,general,12215,1427,39,4104,26202,"11/5/2024, 4:25:15 PM","11/6/2024, 11:11:22 AM"
scix.year-range.eth-2x.pre-load,general,14378,1342,38,4685,29192,"11/5/2024, 4:25:14 PM","11/6/2024, 11:07:51 AM"
scix.year-range.eth-2x.post-load,general,12517,1267,38,4317,26223,"11/5/2024, 4:25:15 PM","11/6/2024, 11:07:54 AM"
scix.citations.eth-2x.pre-load,general,13882,1315,36,4758,28982,"11/5/2024, 4:25:14 PM","11/6/2024, 11:00:55 AM"
scix.citations.eth-2x.post-load,general,12120,1222,36,4290,26472,"11/5/2024, 4:25:15 PM","11/6/2024, 11:00:56 AM"
scix.author-citations-title-abstract.3g-4x.pre-load,general,12934,1169,26,6194,28867,"11/5/2024, 4:25:13 PM","11/6/2024, 10:57:15 AM"
scix.author-citations-title-abstract.3g-4x.post-load,general,11680,1142,26,4669,27665,"11/5/2024, 4:25:14 PM","11/6/2024, 10:57:17 AM"
scix.abstract-keyword.eth-2x.pre-load,general,12833,1550,35,4361,29293,"11/5/2024, 4:25:20 PM","11/6/2024, 11:07:51 AM"
scix.abstract-keyword.eth-2x.post-load,general,11474,1412,35,3981,26206,"11/5/2024, 4:25:20 PM","11/6/2024, 11:07:54 AM"
scix.affiliation.eth-2x.pre-load,general,12443,1431,37,4375,28987,"11/5/2024, 4:25:19 PM","11/6/2024, 11:00:55 AM"
scix.affiliation.eth-2x.post-load,general,10954,1307,37,3952,25568,"11/5/2024, 4:25:20 PM","11/6/2024, 11:00:58 AM"
scix.pub-type.eth-2x.pre-load,general,13504,1457,37,3587,29666,"11/5/2024, 4:25:20 PM","11/6/2024, 11:07:51 AM"
scix.pub-type.eth-2x.post-load,general,12019,1275,37,3328,26436,"11/5/2024, 4:25:20 PM","11/6/2024, 11:07:55 AM"
scix.keyword-search.eth-2x.pre-load,general,12940,1452,36,3602,28983,"11/5/2024, 4:25:20 PM","11/6/2024, 11:07:53 AM"
scix.keyword-search.eth-2x.post-load,general,11314,1262,36,3336,26277,"11/5/2024, 4:25:21 PM","11/6/2024, 11:07:55 AM"
scix.arxiv-id.eth-2x.pre-load,general,12631,1447,37,3271,29286,"11/5/2024, 4:25:22 PM","11/6/2024, 11:11:17 AM"
scix.arxiv-id.eth-2x.post-load,general,10778,1241,37,2947,25575,"11/5/2024, 4:25:22 PM","11/6/2024, 11:11:22 AM"
scix.or-search.eth-2x.pre-load,general,13685,1448,37,4273,29233,"11/5/2024, 4:25:24 PM","11/6/2024, 11:11:17 AM"
scix.or-search.eth-2x.post-load,general,11615,1221,37,3504,25459,"11/5/2024, 4:25:25 PM","11/6/2024, 11:11:22 AM"
scix.and-search.eth-2x.pre-load,general,12748,1409,34,3815,28927,"11/5/2024, 4:25:24 PM","11/6/2024, 11:07:59 AM"
scix.and-search.eth-2x.post-load,general,10780,1185,34,3506,25590,"11/5/2024, 4:25:25 PM","11/6/2024, 11:08:01 AM"
scix.not-search.eth-2x.pre-load,general,12562,1319,35,3822,29119,"11/5/2024, 4:25:24 PM","11/6/2024, 11:07:59 AM"
scix.not-search.eth-2x.post-load,general,10349,1114,35,3454,25048,"11/5/2024, 4:25:25 PM","11/6/2024, 11:08:01 AM"
scix.pub-date.eth-2x.pre-load,general,8702,569,35,3433,17010,"11/5/2024, 4:25:25 PM","11/6/2024, 11:11:46 AM"
scix.pub-date.eth-2x.post-load,general,6471,397,35,3067,15678,"11/5/2024, 4:25:26 PM","11/6/2024, 11:11:49 AM"
scix.cited-by-author.eth-2x.pre-load,general,9867,698,39,3438,20086,"11/5/2024, 4:25:29 PM","11/6/2024, 11:11:48 AM"
scix.cited-by-author.eth-2x.post-load,general,8128,625,39,3211,18891,"11/5/2024, 4:25:30 PM","11/6/2024, 11:11:50 AM"
scix.title-citations.eth-2x.pre-load,general,10408,917,36,3214,23114,"11/5/2024, 4:25:30 PM","11/6/2024, 11:11:48 AM"
scix.title-citations.eth-2x.post-load,general,9115,858,36,2991,20072,"11/5/2024, 4:25:30 PM","11/6/2024, 11:11:50 AM"
scix.full-text-references.eth-2x.pre-load,general,9044,840,37,3537,20899,"11/5/2024, 4:25:34 PM","11/6/2024, 11:11:49 AM"
scix.full-text-references.eth-2x.post-load,general,7986,757,37,3331,18788,"11/5/2024, 4:25:34 PM","11/6/2024, 11:11:51 AM"
scix.affiliation-references.eth-2x.pre-load,general,9912,965,40,3314,26230,"11/5/2024, 4:25:38 PM","11/6/2024, 11:11:49 AM"
scix.affiliation-references.eth-2x.post-load,general,8686,882,40,3114,23920,"11/5/2024, 4:25:38 PM","11/6/2024, 11:11:51 AM"
scix.pub-type-citations-year.eth-2x.pre-load,general,9813,983,38,3281,26848,"11/5/2024, 4:25:42 PM","11/6/2024, 11:11:49 AM"
scix.pub-type-citations-year.eth-2x.post-load,general,8572,886,38,3056,24520,"11/5/2024, 4:25:42 PM","11/6/2024, 11:11:53 AM"
